Bảng giá,,,,,,,,,,,,,,,,,,,,,,,,,
,Giai đoạn 3: Transit - Quá trình vận chuyển,,,,,,,,,,,,,,,,,,,Full Gate In / Gate In (Hạ bãi chờ xuất),,,,,"Container đã đóng hàng xong, kẹp chì (seal) và được xe chở hạ xuống bãi cảng (CY) để chờ xuất.

👉 Phải hạ trước giờ Cut-off."
,,,,,,,,,,,,,,,,,,,,Customs Cleared / Released (Khai báo hải quan xuất khẩu),,,,,"Hải quan Trung Quốc đã chấp nhận cho lô hàng này xuất khẩu. Nếu chưa có trạng thái này (hoặc bị Customs Hold), container sẽ không được xếp lên tàu."
,"Đối với tuyến China - Vietnam, tàu có thể đi thẳng (Direct) hoặc chuyển tải (Transship).",,,,,,,,,,,,,,,,,,,Loaded on Board (Đã xếp lên tàu),,,,,"Cần cẩu tại cảng bốc container từ bãi lên boong tàu.

👉 Đây là mốc quan trọng để phát hành Bill of Lading."
,,,,,,,,,,,,,,,,,,,,Vessel Departed / Sailed (Tàu rời cảng),,,,,Tàu chính thức rời bến cảng Trung Quốc. Hệ thống cập nhật ngày ATD.
,Trạng thái (Tiếng Anh),Tiếng Việt,,Chi tiết hoạt động,,,,,,,,,,,,,,,,Rolled / Shut out (Rớt tàu),,,,,"Container đã hạ bãi nhưng tàu đầy (overbooked) hoặc do vấn đề chứng từ nên bị Hãng tàu để lại, phải đi chuyến sau."
,In Transit,Đang vận chuyển,,Container đang nằm trên tàu giữa biển khơi.,,,,,,,,,,,,,,,Quá trình vận chuyển (Transit),,,,,,
,Transshipment Discharged (Nếu có),Dỡ cảng chuyển tải,,Ví dụ: Tàu từ Ningbo ghé Hong Kong. Cont được dỡ xuống Hong Kong chờ tàu khác về Hải Phòng.,,,,,,,,,,,,,,,,In Transit (Đang vận chuyển),,Đang vận chuyển,,,Container đang nằm trên tàu giữa biển khơi.
,Transshipment Loaded (Nếu có),Xếp tàu chuyển tải,,Container được xếp lên tàu nối (Feeder vessel) để về Việt Nam.,,,,,,,,,,,,,,,,Transshipment Discharged (Dỡ cảng chuyển tải),,Dỡ cảng chuyển tải,,,Ví dụ: Tàu từ Ningbo ghé Hong Kong. Cont được dỡ xuống Hong Kong chờ tàu khác về Hải Phòng.
,Omitted / Skipped (Sự cố),Bỏ cảng,,Tàu không ghé cảng dự kiến do thời tiết hoặc lịch trình thay đổi.,,,,,,,,,,,,,,,,Transshipment Loaded (Xếp tàu chuyển tải),,Xếp tàu chuyển tải,,,Container được xếp lên tàu nối (Feeder vessel) để về Việt Nam.
,,,,,,,,,,,,,,,,,,,,Omitted / Skipped (Bỏ cảng),,Bỏ cảng,,,Tàu không ghé cảng dự kiến do thời tiết hoặc lịch trình thay đổi.
,Giai đoạn 4: Destination - Tại cảng đến (Việt Nam),,,,,,,,,,,,,,,,,,Destination - Tại cảng đến,,,,,,
,,,,,,,,,,,,,,,,,,,,Vessel Arrived / Berthing (Tàu cập cầu cảng),,,,,"Tàu đã đến cảng (Hải Phòng, Cát Lái, Đà Nẵng...) và đang neo đậu để làm hàng. Cập nhật ngày ATA."
,Đây là giai đoạn bạn theo dõi sát sao nhất để làm thủ tục lấy D/O và giao hàng.,,,,,,,,,,,,,,,,,,,Discharged / Unloaded (Dỡ hàng xuống bãi container),,,,,"Container được cẩu từ tàu xuống cảng nhập (CY).

👉 Bắt đầu tính free time Demurrage/Detention tại Việt Nam."
,,,,,,,,,,,,,,,,,,,,Import Customs Cleared (Khai báo hải quan nhập khẩu),,,,,Container bị giữ lại để kiểm hóa hoặc soi chiếu (Hải quan VN yêu cầu). Không thể lấy hàng cho đến khi giải tỏa.
